Altium Designer Pick and Place Locations
C:\Users\nisch\AppData\Local\TempReleases\Snapshot\2\Assembly\Pick Place\Pick Place for SpideySensePCB.txt

========================================================================================================================
File Design Information:

Date:       31-12-21
Time:       16:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                           Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                 
Q1         BD139                             TopLayer PCB-vxsgokorrilsux2zr6a3-1 3449.095      3425.000      180      "Trans GP BJT NPN 80V 1.5A 1250mW 3-Pin(3+Tab) SOT-32 Tube"                                 
J3         "3V Vibration Motor"              TopLayer PCB-642946-1               4635.000      3775.787      90       "Mini Vibration Motor 2.0mm"                                                                
J2         "3V Vibration Motor"              TopLayer PCB-642946-1               3985.000      3775.787      90       "Mini Vibration Motor 2.0mm"                                                                
J1         "3V Vibration Motor"              TopLayer PCB-642946-1               3315.000      3775.787      90       "Mini Vibration Motor 2.0mm"                                                                
D7         "RED LED PTH"                     TopLayer PCB-8fnm1gqdpse16arx63h0-1 4785.000      4290.000      0        "LED; Red; 30mcd; 0.126In.Dia.; T-1; 150mA; 2V; 635nm; 60deg; Diffused; 85 to 85degC"       
C4         1000uF/50V                        TopLayer PCB-syws3wtmmitcvr7uxv5d-1 3338.425      4465.000      180      1000uF/50V                                                                                  
C3         100pF                             TopLayer PCB-kmattby4o7v8fub4ufnq-1 3900.000      4425.000      90       "Cap Ceramic Disk Rdl Ammo Pk"                                                              
C2         0.1uF                             TopLayer PCB-sa3w44oy0wih14a9m5c9-1 4045.000      4430.000      270      "Cap Ceramic 0.1uF 50V X7R 10% Radial 5.08mm 125°C Bulk"                                    
C1         0.1uF                             TopLayer PCB-sa3w44oy0wih14a9m5c9-1 3735.000      4430.000      90       "Cap Ceramic 0.1uF 50V X7R 10% Radial 5.08mm 125°C Bulk"                                    
BT1        "Keystone 2239"                   TopLayer PCB-4nnq7f80hz6nyftd1am7-1 3435.000      4895.000      180      "Fitting, Cable; 0.240 to 0.685 in.; DieCast Zinc; Zinc Plated; 1.563 in."                  
